	Wave (A)	FluxDens(1d-15)   Err
       3801.0000       23.641355      0.18097823
       3801.4900       23.641355      0.18097823
       3801.9800       23.638180      0.18084714
       3802.4700       23.682470      0.18089856
       3802.9600       23.629832      0.18060644
       3803.4500       23.609181      0.18037379
       3803.9400       23.611867      0.18020498
       3804.4300       23.651650      0.18023735
       3804.9200       23.748517      0.18046486
       3805.4100       23.718814      0.18016620
       3805.9000       23.545559      0.17940108
       3806.3900       23.607529      0.17958404
       3806.8800       23.568448      0.17929057
       3807.3700       23.718832      0.17970345
       3807.8600       23.561383      0.17898025
       3808.3500       23.490967      0.17863910
       3808.8400       23.579880      0.17883613
       3809.3300       23.638868      0.17893431
       3809.8200       23.555243      0.17853361
       3810.3100       23.489444      0.17803517
       3810.8000       23.457716      0.17775927
       3811.2900       23.408704      0.17751064
       3811.7800       23.549395      0.17794945
       3812.2700       23.729559      0.17851266
       3812.7600       23.564177      0.17781770
       3813.2500       23.586478      0.17767906
       3813.7400       23.640967      0.17779087
       3814.2300       23.535428      0.17729457
       3814.7200       23.643326      0.17750212
       3815.2100       23.643561      0.17742299
       3815.7000       23.631085      0.17727805
       3816.1900       23.543112      0.17683224
       3816.6800       23.668762      0.17713330
       3817.1700       24.075293      0.17843217
       3817.6600       24.270790      0.17905692
       3818.1500       24.373033      0.17925935
       3818.6400       24.956061      0.18121131
       3819.1300       25.915685      0.18448829
       3819.6200       26.497685      0.18642816
       3820.1100       26.428928      0.18601509
       3820.6000       25.759842      0.18349726
       3821.0900       24.969906      0.18066140
       3821.5800       24.332620      0.17830332
       3822.0700       24.141051      0.17747987
       3822.5600       23.916627      0.17660380
       3823.0500       23.706215      0.17567172
       3823.5400       23.654282      0.17528587
       3824.0300       23.387276      0.17417869
       3824.5200       23.311789      0.17377752
       3825.0100       23.652842      0.17481374
       3825.5000       23.515900      0.17429934
       3825.9900       23.230847      0.17326741
       3826.4800       23.293854      0.17341857
       3826.9700       23.245329      0.17313655
       3827.4600       23.437879      0.17366359
       3827.9500       23.261174      0.17293651
       3828.4400       23.071563      0.17219306
       3828.9300       23.213230      0.17260135
       3829.4200       23.225245      0.17267184
       3829.9100       23.326720      0.17296221
       3830.4000       23.193917      0.17222706
       3830.8900       23.033420      0.17155997
       3831.3800       23.211627      0.17207174
       3831.8700       23.026272      0.17125909
       3832.3600       22.969816      0.17099706
       3832.8500       23.141057      0.17142078
       3833.3400       23.073258      0.17110087
       3833.8300       23.158407      0.17134523
       3834.3200       23.207110      0.17137301
       3834.8100       23.029111      0.17056730
       3835.3000       22.962355      0.17014836
       3835.7900       23.075096      0.17044431
       3836.2800       23.127787      0.17062627
       3836.7700       23.250346      0.17109665
       3837.2600       23.384144      0.17137365
       3837.7500       23.310035      0.17088202
       3838.2400       23.350625      0.17094134
       3838.7300       23.445057      0.17118239
       3839.2200       23.375364      0.17082238
       3839.7100       23.532126      0.17131308
       3840.2000       23.830506      0.17237492
       3840.6900       24.066815      0.17313817
       3841.1800       24.266489      0.17371911
       3841.6700       24.269219      0.17361604
       3842.1600       24.227558      0.17340848
       3842.6500       23.999291      0.17243500
       3843.1400       23.598062      0.17078758
       3843.6300       23.352474      0.16988878
       3844.1200       23.441265      0.17021000
       3844.6100       23.405396      0.17004621
       3845.1000       23.217852      0.16927337
       3845.5900       23.418691      0.16986198
       3846.0800       23.427657      0.16979273
       3846.5700       23.319120      0.16929673
       3847.0600       23.301664      0.16914054
       3847.5500       23.223493      0.16871022
       3848.0400       23.167562      0.16835169
       3848.5300       23.040003      0.16778963
       3849.0200       23.107873      0.16800014
       3849.5100       23.303661      0.16865635
       3850.0000       23.293893      0.16853072
       3850.4900       23.301604      0.16841219
       3850.9800       23.222503      0.16795125
       3851.4700       23.186728      0.16778321
       3851.9600       23.272355      0.16804444
       3852.4500       23.361046      0.16819900
       3852.9400       23.442916      0.16832901
       3853.4300       23.388447      0.16803394
       3853.9200       23.450794      0.16825489
       3854.4100       23.660252      0.16897958
       3854.9000       23.688009      0.16892258
       3855.3900       24.050205      0.17005271
       3855.8800       24.942830      0.17307738
       3856.3700       25.917729      0.17630526
       3856.8600       26.829201      0.17919526
       3857.3500       27.372734      0.18081272
       3857.8400       27.144239      0.17997401
       3858.3300       26.274608      0.17700291
       3858.8200       25.366013      0.17378130
       3859.3100       24.543428      0.17087129
       3859.8000       24.077970      0.16927931
       3860.2900       23.778553      0.16820778
       3860.7800       23.541176      0.16726953
       3861.2700       23.627964      0.16742094
       3861.7600       23.643531      0.16736132
       3862.2500       23.345978      0.16626959
       3862.7400       23.093373      0.16526687
       3863.2300       23.100914      0.16517039
       3863.7200       23.281792      0.16572415
       3864.2100       23.231291      0.16546785
       3864.7000       23.101024      0.16483780
       3865.1900       23.094303      0.16470756
       3865.6800       23.072430      0.16462684
       3866.1700       23.248557      0.16519000
       3866.6600       23.223265      0.16499284
       3867.1500       23.141581      0.16463550
       3867.6400       23.132137      0.16450177
       3868.1300       23.110998      0.16433332
       3868.6200       23.147986      0.16429726
       3869.1100       23.215244      0.16438701
       3869.6000       23.104386      0.16390448
       3870.0900       22.972802      0.16337790
       3870.5800       22.910505      0.16295939
       3871.0700       22.937670      0.16297343
       3871.5600       23.048917      0.16330866
       3872.0500       23.184814      0.16369430
       3872.5400       23.051559      0.16322352
       3873.0300       22.795634      0.16227433
       3873.5200       22.968431      0.16281738
       3874.0100       23.089263      0.16315771
       3874.5000       22.984431      0.16273258
       3874.9900       22.928103      0.16236646
       3875.4800       22.861924      0.16206108
       3875.9700       22.895548      0.16204115
       3876.4600       22.888472      0.16192429
       3876.9500       23.289948      0.16318815
       3877.4400       23.186568      0.16276115
       3877.9300       23.332440      0.16324896
       3878.4200       23.364360      0.16328240
       3878.9100       23.414751      0.16333651
       3879.4000       23.094005      0.16208982
       3879.8900       23.048565      0.16176370
       3880.3800       22.921123      0.16127520
       3880.8700       22.954501      0.16126695
       3881.3600       22.431661      0.15938011
       3881.8500       22.935455      0.16101839
       3882.3400       22.739010      0.16025941
       3882.8300       22.606542      0.15977757
       3883.3200       22.782601      0.16025408
       3883.8100       22.839577      0.16038881
       3884.3000       23.297242      0.16184014
       3884.7900       23.082264      0.16102420
       3885.2800       22.810800      0.15997348
       3885.7700       23.114063      0.16087548
       3886.2600       23.107654      0.16084167
       3886.7500       22.972373      0.16022677
       3887.2400       22.851372      0.15968513
       3887.7300       22.569743      0.15869324
       3888.2200       22.701431      0.15902810
       3888.7100       22.890674      0.15950637
       3889.2000       22.999237      0.15987868
       3889.6900       22.902473      0.15946003
       3890.1800       22.802781      0.15899756
       3890.6700       22.938598      0.15932715
       3891.1600       22.828951      0.15886457
       3891.6500       23.046825      0.15956484
       3892.1400       22.832457      0.15875143
       3892.6300       22.933814      0.15884699
       3893.1200       22.928594      0.15873171
       3893.6100       22.888684      0.15863813
       3894.1000       22.962083      0.15880062
       3894.5900       23.016349      0.15892644
       3895.0800       23.093976      0.15907307
       3895.5700       23.011960      0.15868704
       3896.0600       22.971132      0.15847105
       3896.5500       23.248208      0.15920666
       3897.0400       22.992433      0.15825909
       3897.5300       22.949083      0.15800323
       3898.0200       23.062075      0.15828167
       3898.5100       23.116329      0.15839587
       3899.0000       23.035024      0.15803159
       3899.4900       23.071954      0.15808844
       3899.9800       23.155928      0.15828700
       3900.4700       23.064845      0.15785610
       3900.9600       23.103449      0.15788773
       3901.4500       23.135960      0.15790875
       3901.9400       23.146665      0.15791274
       3902.4300       23.428924      0.15876987
       3902.9200       23.589013      0.15914913
       3903.4100       23.511907      0.15880701
       3903.9000       23.479850      0.15872877
       3904.3900       23.444734      0.15857238
       3904.8800       23.554767      0.15879353
       3905.3700       23.628524      0.15895741
       3905.8600       23.794102      0.15950322
       3906.3500       24.005182      0.16019205
       3906.8400       24.073409      0.16037601
       3907.3300       24.208116      0.16071280
       3907.8200       24.470324      0.16144482
       3908.3100       24.983703      0.16299778
       3908.8000       25.623317      0.16494110
       3909.2900       26.787514      0.16844746
       3909.7800       28.469822      0.17347434
       3910.2700       30.035863      0.17812172
       3910.7600       31.420348      0.18206481
       3911.2500       32.095363      0.18386751
       3911.7400       31.490719      0.18206229
       3912.2300       29.953906      0.17750081
       3912.7200       28.107951      0.17187792
       3913.2100       26.419166      0.16662031
       3913.7000       25.290649      0.16301826
       3914.1900       24.782067      0.16125517
       3914.6800       24.483486      0.16015393
       3915.1700       24.266728      0.15935766
       3915.6600       24.282452      0.15929902
       3916.1500       24.020679      0.15837483
       3916.6400       23.927406      0.15795096
       3917.1300       24.171939      0.15868239
       3917.6200       24.060055      0.15833979
       3918.1100       23.861890      0.15760198
       3918.6000       23.804693      0.15724326
       3919.0900       23.827028      0.15720705
       3919.5800       23.706341      0.15677130
       3920.0700       23.687847      0.15666776
       3920.5600       23.689399      0.15655392
       3921.0500       23.496419      0.15586091
       3921.5400       23.622323      0.15617761
       3922.0300       23.672968      0.15621987
       3922.5200       23.345490      0.15509039
       3923.0100       23.337461      0.15501151
       3923.5000       23.474230      0.15538858
       3923.9900       23.622992      0.15579486
       3924.4800       23.474765      0.15525130
       3924.9700       23.294508      0.15456900
       3925.4600       23.267899      0.15440082
       3925.9500       23.176913      0.15399625
       3926.4400       23.395419      0.15460599
       3926.9300       23.675966      0.15548443
       3927.4200       23.517857      0.15489169
       3927.9100       23.372918      0.15432181
       3928.4000       23.205333      0.15370486
       3928.8900       23.309876      0.15400552
       3929.3800       23.359847      0.15412740
       3929.8700       23.357426      0.15410527
       3930.3600       23.245921      0.15363558
       3930.8500       23.076092      0.15297497
       3931.3400       23.008876      0.15271493
       3931.8300       23.186278      0.15322435
       3932.3200       22.990846      0.15245344
       3932.8100       22.049464      0.14922369
       3933.3000       21.546046      0.14748558
       3933.7900       22.097200      0.14925716
       3934.2800       22.880178      0.15170533
       3934.7700       23.150683      0.15249908
       3935.2600       23.039714      0.15205944
       3935.7500       22.896338      0.15158238
       3936.2400       23.061779      0.15206986
       3936.7300       23.004716      0.15178304
       3937.2200       23.056129      0.15189300
       3937.7100       23.040557      0.15178123
       3938.2000       22.987125      0.15166525
       3938.6900       23.073006      0.15184933
       3939.1800       23.156446      0.15200974
       3939.6700       22.982878      0.15137003
       3940.1600       22.894240      0.15096205
       3940.6500       23.190367      0.15183721
       3941.1400       22.978129      0.15109660
       3941.6300       22.841432      0.15055224
       3942.1200       22.775475      0.15028384
       3942.6100       22.973717      0.15090587
       3943.1000       23.055617      0.15114342
       3943.5900       22.853835      0.15035598
       3944.0800       22.675601      0.14963218
       3944.5700       22.515616      0.14905478
       3945.0600       22.546192      0.14915362
       3945.5500       22.781850      0.14981366
       3946.0400       22.822701      0.14983002
       3946.5300       22.756846      0.14955477
       3947.0200       22.783436      0.14956465
       3947.5100       22.736186      0.14937263
       3948.0000       22.753355      0.14937946
       3948.4900       22.756124      0.14928579
       3948.9800       22.650114      0.14880932
       3949.4700       22.458311      0.14811899
       3949.9600       22.321881      0.14760500
       3950.4500       22.402797      0.14783007
       3950.9400       22.484357      0.14804714
       3951.4300       22.465314      0.14790913
       3951.9200       22.511657      0.14801702
       3952.4100       22.511058      0.14790476
