	Wave (A)	FluxDens(1d-15)   Err
       5856.0000       10.753025     0.095005858
       5856.4900       10.753025     0.095005858
       5856.9800       10.951663     0.096082714
       5857.4700       10.898015     0.096016900
       5857.9600       10.977891     0.096410406
       5858.4500       10.920633     0.096084039
       5858.9400       10.827419     0.095453416
       5859.4300       10.902064     0.095757446
       5859.9200       10.890173     0.095970300
       5860.4100       10.876502     0.095872628
       5860.9000       10.910228     0.095766136
       5861.3900       10.915269     0.095883218
       5861.8800       10.823338     0.095707843
       5862.3700       10.911888     0.096238016
       5862.8600       10.898785     0.096060959
       5863.3500       10.846501     0.095727696
       5863.8400       10.907391     0.095989206
       5864.3300       10.901145     0.096179777
       5864.8200       10.960230     0.096668439
       5865.3100       10.996257     0.096940372
       5865.8000       11.085069     0.097281234
       5866.2900       11.112970     0.097265887
       5866.7800       11.008536     0.097204938
       5867.2700       10.917644     0.097038955
       5867.7600       10.905727     0.096738150
       5868.2500       11.051027     0.096987021
       5868.7400       11.091245     0.097139178
       5869.2300       11.000411     0.096712519
       5869.7200       11.024222     0.096699499
       5870.2100       11.102860     0.097107236
       5870.7000       11.023348     0.096709296
       5871.1900       11.004156     0.096458837
       5871.6800       11.045963     0.096985730
       5872.1700       11.111640     0.097394505
       5872.6600       11.025005     0.096645639
       5873.1500       10.915679     0.096088780
       5873.6400       11.082990     0.097013056
       5874.1300       11.159594     0.097440790
       5874.6200       11.123780     0.097445560
       5875.1100       11.191894     0.098092040
       5875.6000       11.241390     0.098274993
       5876.0900       11.159225     0.097599711
       5876.5800       11.044567     0.096947850
       5877.0700       11.115552     0.097198511
       5877.5600       11.146928     0.097134314
       5878.0500       10.999389     0.096261208
       5878.5400       10.988377     0.096411620
       5879.0300       11.102393     0.097019376
       5879.5200       11.097908     0.096772331
       5880.0100       11.027306     0.096345687
       5880.5000       11.089237     0.096668029
       5880.9900       11.026097     0.096269752
       5881.4800       10.879709     0.095467266
       5881.9700       10.958831     0.095946091
       5882.4600       11.007493     0.096191305
       5882.9500       11.020502     0.096213648
       5883.4400       11.068734     0.096424411
       5883.9300       11.025913     0.096080784
       5884.4200       11.068198     0.096143397
       5884.9100       11.120677     0.096648126
       5885.4000       10.988658     0.096182550
       5885.8900       10.972108     0.096033571
       5886.3800       10.964962     0.096224859
       5886.8700       11.013904     0.096774635
       5887.3600       11.015576     0.096978934
       5887.8500       10.933433     0.096490595
       5888.3400       10.939924     0.097950427
       5888.8300       10.938213      0.10260033
       5889.3200       10.908372      0.10644892
       5889.8100       10.727240      0.10430478
       5890.3000       10.762776      0.10057817
       5890.7900       10.814442     0.098605078
       5891.2800       10.863023     0.098290986
       5891.7700       10.970368     0.098333534
       5892.2600       10.908020     0.097376688
       5892.7500       11.042028     0.097170958
       5893.2400       11.215225     0.097714659
       5893.7300       11.273259     0.097865499
       5894.2200       11.193922     0.097545833
       5894.7100       11.122761     0.099452083
       5895.2000       11.190877      0.10260406
       5895.6900       11.138013      0.10221863
       5896.1800       10.961457     0.099084590
       5896.6700       11.016078     0.097780321
       5897.1600       11.115549     0.097917479
       5897.6500       11.161440     0.097748587
       5898.1400       11.130869     0.096744472
       5898.6300       11.104618     0.096354662
       5899.1200       11.172521     0.096805327
       5899.6100       11.234763     0.096927442
       5900.1000       11.362228     0.097181460
       5900.5900       11.335447     0.096771444
       5901.0800       11.199662     0.096098811
       5901.5700       11.334929     0.096792805
       5902.0600       11.523336     0.097389830
       5902.5500       11.510526     0.097007607
       5903.0400       11.503315     0.096830487
       5903.5300       11.624804     0.097165555
       5904.0200       11.679920     0.097316178
       5904.5100       11.824982     0.097915513
       5905.0000       11.923549     0.098332891
       5905.4900       12.002163     0.098703666
       5905.9800       12.237262     0.099724130
       5906.4700       12.556629      0.10115561
       5906.9600       12.956804      0.10286924
       5907.4500       13.455964      0.10458177
       5907.9400       14.084691      0.10663401
       5908.4300       14.843162      0.10943452
       5908.9200       15.448374      0.11167562
       5909.4100       15.855476      0.11322323
       5909.9000       16.046547      0.11390632
       5910.3900       16.074888      0.11356228
       5910.8800       15.980463      0.11294005
       5911.3700       15.490230      0.11112576
       5911.8600       14.753741      0.10841486
       5912.3500       14.024260      0.10577567
       5912.8400       13.418555      0.10340996
       5913.3300       12.813115      0.10110880
       5913.8200       12.375456      0.10004428
       5914.3100       12.307399      0.10069307
       5914.8000       12.233707      0.10057762
       5915.2900       11.955613     0.098675292
       5915.7800       11.743061     0.097419410
       5916.2700       11.721811     0.097522968
       5916.7600       11.680150     0.097251270
       5917.2500       11.567443     0.096807893
       5917.7400       11.448531     0.096472667
       5918.2300       11.448089     0.096654531
       5918.7200       11.593392     0.097445006
       5919.2100       11.522471     0.096865594
       5919.7000       11.369265     0.095954367
       5920.1900       11.408527     0.096198995
       5920.6800       11.494753     0.096513490
       5921.1700       11.331056     0.095484492
       5921.6600       11.175998     0.094733096
       5922.1500       11.333317     0.095816068
       5922.6400       11.402871     0.096413218
       5923.1300       11.390666     0.096373216
       5923.6200       11.316509     0.096128116
       5924.1100       11.189261     0.095561938
       5924.6000       11.184945     0.095223295
       5925.0900       11.313911     0.095532757
       5925.5800       11.426171     0.095929355
       5926.0700       11.332100     0.095256299
       5926.5600       11.129670     0.094159942
       5927.0500       10.992756     0.093601538
       5927.5400       10.963845     0.093496391
       5928.0300       10.987179     0.093580386
       5928.5200       11.004519     0.093793255
       5929.0100       11.076274     0.094318703
       5929.5000       11.151637     0.094467982
       5929.9900       11.074196     0.094104479
       5930.4800       11.042057     0.094038727
       5930.9700       11.045464     0.093996327
       5931.4600       11.020169     0.094115465
       5931.9500       10.923574     0.094497969
       5932.4400       10.967668     0.095171553
       5932.9300       10.972012     0.094658235
       5933.4200       10.858998     0.093819925
       5933.9100       10.760919     0.093185148
       5934.4000       10.747654     0.092869455
       5934.8900       10.718918     0.092483686
       5935.3800       10.729922     0.092397031
       5935.8700       10.706059     0.092427656
       5936.3600       10.667872     0.092344556
       5936.8500       10.754413     0.092620325
       5937.3400       10.729220     0.092479666
       5937.8300       10.754440     0.092588375
       5938.3200       10.785525     0.092705040
       5938.8100       10.724207     0.092494680
       5939.3000       10.663201     0.092387125
       5939.7900       10.540117     0.092020710
       5940.2800       10.688631     0.092850441
       5940.7700       10.867745     0.094360031
       5941.2600       10.848999     0.094695065
       5941.7500       10.762612     0.094114999
       5942.2400       10.693454     0.093418559
       5942.7300       10.718226     0.093369897
       5943.2200       10.688727     0.092838667
       5943.7100       10.583310     0.092378561
       5944.2000       10.733147     0.093707363
       5944.6900       10.808263     0.094452947
       5945.1800       10.719693     0.093882841
       5945.6700       10.689679     0.093664521
       5946.1600       10.583159     0.092855590
       5946.6500       10.600634     0.092508406
       5947.1400       10.594002     0.092481113
       5947.6300       10.574952     0.092712785
       5948.1200       10.629776     0.092846211
       5948.6100       10.583519     0.092391868
       5949.1000       10.427282     0.091388121
       5949.5900       10.396572     0.091478005
       5950.0800       10.453044     0.091922657
       5950.5700       10.458985     0.091474780
       5951.0600       10.401954     0.090997028
       5951.5500       10.427589     0.091309477
       5952.0400       10.379340     0.091403216
       5952.5300       10.544160     0.092340989
       5953.0200       10.564321     0.092731592
       5953.5100       10.421437     0.092121782
       5954.0000       10.411856     0.091608738
       5954.4900       10.362633     0.091070633
       5954.9800       10.423599     0.091221237
       5955.4700       10.516166     0.091696711
       5955.9600       10.391975     0.091104767
       5956.4500       10.436803     0.091299666
       5956.9400       10.297016     0.090918636
       5957.4300       10.379856     0.091694832
       5957.9200       10.340222     0.091364131
       5958.4100       10.349078     0.090819178
       5958.9000       10.315411     0.090502305
       5959.3900       10.361362     0.090676581
       5959.8800       10.297154     0.090482622
       5960.3700       10.327420     0.090706772
       5960.8600       10.453993     0.091228032
       5961.3500       10.415596     0.091144939
       5961.8400       10.397507     0.091174818
       5962.3300       10.423836     0.091221233
       5962.8200       10.434396     0.091330491
       5963.3100       10.468571     0.091412812
       5963.8000       10.411767     0.091255413
       5964.2900       10.449322     0.091376191
       5964.7800       10.442112     0.091104804
       5965.2700       10.270458     0.090195545
       5965.7600       10.230385     0.090019195
       5966.2500       10.192546     0.090095379
       5966.7400       10.292666     0.090770986
       5967.2300       10.349710     0.091165972
       5967.7200       10.236114     0.090709719
       5968.2100       10.238313     0.090623263
       5968.7000       10.333504     0.091339725
       5969.1900       10.337325     0.091298923
       5969.6800       10.199175     0.090235266
       5970.1700       10.146030     0.090376857
       5970.6600       10.238497     0.090965137
       5971.1500       10.383033     0.091447603
       5971.6400       10.411608     0.091785368
       5972.1300       10.286837     0.090996715
       5972.6200       10.291258     0.090666397
       5973.1100       10.244659     0.090263570
       5973.6000       10.223228     0.090092656
       5974.0900       10.294123     0.090504159
       5974.5800       10.132032     0.089864157
       5975.0700       10.090181     0.089632888
       5975.5600       10.180114     0.090215202
       5976.0500       10.234014     0.090845969
       5976.5400       10.390085     0.091806728
       5977.0300       10.283712     0.091078603
       5977.5200       10.217872     0.090331488
       5978.0100       10.328548     0.090586123
       5978.5000       10.195491     0.089947740
       5978.9900       10.189380     0.089961186
       5979.4800       10.286772     0.090610071
       5979.9700       10.279930     0.090515705
       5980.4600       10.166722     0.089785567
       5980.9500       10.093084     0.089619647
       5981.4400       10.214027     0.090114532
       5981.9300       10.248875     0.090147501
       5982.4200       10.205882     0.090013153
       5982.9100       10.232869     0.090198980
       5983.4000       10.262460     0.090343578
       5983.8900       10.128544     0.089543489
       5984.3800       10.062003     0.089484076
       5984.8700       10.215776     0.090337807
       5985.3600       10.204981     0.090149599
       5985.8500       10.225205     0.090115334
       5986.3400       10.177546     0.089745788
       5986.8300       10.120297     0.089555467
       5987.3200       10.133858     0.089760350
       5987.8100       10.169859     0.089971914
       5988.3000       10.260565     0.090627283
       5988.7900       10.162509     0.090095164
       5989.2800       10.093582     0.089403844
       5989.7700       10.142328     0.090008131
       5990.2600       10.190743     0.090373551
       5990.7500       10.091833     0.089871227
       5991.2400       10.161263     0.090210298
       5991.7300       10.220422     0.090046697
       5992.2200       10.196901     0.089949856
       5992.7100       10.150047     0.089930825
       5993.2000       10.165251     0.090075388
       5993.6900       10.160826     0.090119186
       5994.1800       10.189059     0.090046373
       5994.6700       10.155850     0.090019180
       5995.1600       10.135845     0.089717298
       5995.6500       10.164940     0.089794658
       5996.1400       10.124861     0.089713924
       5996.6300       9.9764617     0.089060361
       5997.1200       10.138268     0.090051744
       5997.6100       10.147876     0.090318314
       5998.1000       10.064744     0.089746835
       5998.5900       9.9226122     0.089055668
       5999.0800       9.9532724     0.089054444
       5999.5700       9.9222483     0.088645606
       6000.0600       9.8323966     0.088136877
       6000.5500       9.9627692     0.088839635
       6001.0400       9.9987926     0.089066430
       6001.5300       9.9505852     0.088793868
       6002.0200       9.9782334     0.088884894
       6002.5100       9.9446813     0.088824340
       6003.0000       9.9247136     0.089028376
       6003.4900       10.021607     0.089859761
       6003.9800       9.9810423     0.089379949
       6004.4700       9.9401061     0.088672561
       6004.9600       10.131878     0.089650228
       6005.4500       10.164343     0.089874974
       6005.9400       10.054186     0.089379043
       6006.4300       9.9185723     0.088708282
       6006.9200       9.8783177     0.088352249
       6007.4100       9.9035675     0.088410733
       6007.9000       10.018481     0.088952606
       6008.3900       10.132238     0.089645184
       6008.8800       10.064837     0.089443894
       6009.3700       10.004391     0.089426584
       6009.8600       10.029218     0.089535691
       6010.3500       10.021372     0.089256099
       6010.8400       10.016510     0.089296050
       6011.3300       9.9355287     0.088711258
       6011.8200       9.9297396     0.088418382
       6012.3100       10.036708     0.088872743
       6012.8000       10.069493     0.089152473
       6013.2900       10.148367     0.089670863
       6013.7800       10.186060     0.089660404
       6014.2700       10.133921     0.089311984
       6014.7600       10.190201     0.089796700
       6015.2500       10.053678     0.089239933
       6015.7400       9.8952807     0.088380532
       6016.2300       9.9777589     0.088599656
       6016.7200       9.9985935     0.088589244
       6017.2100       9.9172430     0.088294289
       6017.7000       9.9603169     0.088640249
       6018.1900       10.006109     0.088966445
       6018.6800       9.9904881     0.088921889
       6019.1700       10.019589     0.089145013
       6019.6600       10.001036     0.089091373
       6020.1500       9.9574840     0.088733027
       6020.6400       9.9508632     0.088513766
       6021.1300       9.9635007     0.088481058
       6021.6200       9.9395276     0.088722141
       6022.1100       9.9255599     0.088960602
       6022.6000       9.9510189     0.088802047
       6023.0900       9.9343462     0.088447971
       6023.5800       9.7779885     0.087684137
       6024.0700       9.7461147     0.087527611
       6024.5600       9.8814475     0.088132020
       6025.0500       9.8644038     0.088155414
       6025.5400       9.8364947     0.088211206
       6026.0300       9.8802631     0.088338161
       6026.5200       9.9110552     0.088346413
       6027.0100       9.8996363     0.088406766
       6027.5000       9.8795118     0.088319024
       6027.9900       9.8354226     0.088026270
       6028.4800       9.8102956     0.087833467
       6028.9700       9.7059264     0.087321897
       6029.4600       9.6851232     0.087291186
       6029.9500       9.8712304     0.088218099
       6030.4400       9.8315144     0.087932241
       6030.9300       9.7668526     0.087693033
       6031.4200       9.7563440     0.087892771
