      9109.81 -3.54572e-15  6.57709e-15
      9525.49  1.38073e-15  6.08894e-16
      9526.73  1.32717e-15  5.88842e-16
      9527.97  1.72734e-15  5.38166e-16
      9529.22  1.42729e-15  5.04295e-16
      9530.46  1.41544e-15  4.88847e-16
      9531.70  1.88294e-15  5.13662e-16
      9532.95  1.73522e-15  5.00040e-16
      9534.19  1.71431e-15  4.70031e-16
      9535.43  1.48208e-15  4.62997e-16
      9536.68  1.43449e-15  4.21522e-16
      9537.92  1.00429e-15  4.39592e-16
      9539.16  1.11306e-15  4.50661e-16
      9540.41  1.63481e-15  4.50374e-16
      9541.65  1.21836e-15  4.41357e-16
      9542.89  1.45511e-15  4.16837e-16
      9544.13  1.42396e-15  4.16229e-16
      9545.38  1.32396e-15  4.36360e-16
      9546.62  1.23802e-15  4.89243e-16
      9547.86  1.33858e-15  5.13311e-16
      9549.11  1.21047e-15  4.93596e-16
      9550.35  1.35861e-15  4.48386e-16
      9551.59  1.73590e-15  3.93654e-16
      9552.83  1.17280e-15  3.82798e-16
      9554.08  1.28259e-15  3.87807e-16
      9555.32  1.09649e-15  4.04844e-16
      9556.56  9.73333e-16  4.46773e-16
      9557.81  1.12733e-15  4.84859e-16
      9559.05  1.47873e-15  4.91098e-16
      9560.29  1.62122e-15  4.72855e-16
      9561.53  1.23279e-15  4.33510e-16
      9562.78  1.74204e-15  3.95982e-16
      9564.02  1.67028e-15  3.67104e-16
      9565.26  1.46870e-15  3.70191e-16
      9566.50  1.28709e-15  3.96360e-16
      9567.75  9.55422e-16  5.01099e-16
      9568.99  1.54590e-15  4.63615e-16
      9570.23  1.59505e-15  4.54481e-16
      9571.47  1.83091e-15  4.23153e-16
      9572.71  1.65101e-15  4.22667e-16
      9573.96  1.70638e-15  3.76028e-16
      9575.20  1.38304e-15  3.65277e-16
      9576.44  1.69369e-15  3.42657e-16
      9577.68  1.41663e-15  3.25348e-16
      9578.93  1.49323e-15  3.13501e-16
      9580.17  1.68231e-15  3.04027e-16
      9581.41  1.40379e-15  3.22447e-16
      9582.65  1.44896e-15  3.53504e-16
      9583.89  1.61007e-15  3.92177e-16
      9585.14  1.68886e-15  4.08191e-16
      9586.38  1.77435e-15  3.74842e-16
      9587.62  1.47587e-15  3.28154e-16
      9588.86  1.46885e-15  3.13441e-16
      9590.10  1.22994e-15  3.26256e-16
      9591.35  1.34123e-15  3.56844e-16
      9592.59  1.77956e-15  3.86912e-16
      9593.83  1.73900e-15  4.11098e-16
      9595.07  1.68063e-15  4.82128e-16
      9596.31  1.78715e-15  3.83612e-16
      9597.55  1.87152e-15  3.60911e-16
      9598.80  2.10665e-15  3.47227e-16
      9600.04  1.58947e-15  3.30469e-16
      9601.28  1.82010e-15  3.34164e-16
      9602.52  1.74004e-15  3.28224e-16
      9603.76  1.71028e-15  3.13847e-16
      9605.00  1.89700e-15  2.93595e-16
      9606.25  1.68684e-15  2.98243e-16
      9607.49  1.43191e-15  3.05230e-16
      9608.73  1.85905e-15  3.31212e-16
      9609.97  1.97582e-15  3.30128e-16
      9611.21  1.86015e-15  3.12486e-16
      9612.45  1.93610e-15  3.04660e-16
      9613.69  2.00962e-15  2.99296e-16
      9614.93  1.93693e-15  2.83922e-16
      9616.18  1.68255e-15  2.67843e-16
      9617.42  1.58874e-15  2.65067e-16
      9618.66  1.81962e-15  2.78614e-16
      9619.90  2.08778e-15  2.90499e-16
      9621.14  1.81314e-15  2.87038e-16
      9622.38  1.80981e-15  2.91451e-16
      9623.62  1.92909e-15  3.05183e-16
      9624.86  1.99315e-15  3.16273e-16
      9626.10  1.95714e-15  3.10914e-16
      9627.35  2.18445e-15  2.96596e-16
      9628.59  2.06523e-15  2.89706e-16
      9629.83  2.13694e-15  2.88098e-16
      9631.07  2.13817e-15  2.89536e-16
      9632.31  2.07459e-15  2.72354e-16
      9633.55  2.47464e-15  2.56496e-16
      9634.79  2.43288e-15  2.40298e-16
      9636.03  2.49001e-15  2.64778e-16
      9637.27  2.21347e-15  2.40187e-16
      9638.51  1.99266e-15  2.58020e-16
      9639.75  2.00760e-15  2.82905e-16
      9640.99  1.98038e-15  2.98077e-16
      9642.23  1.98739e-15  3.35280e-16
      9643.48  2.25167e-15  2.70499e-16
      9644.72  2.07733e-15  2.60521e-16
      9645.96  1.87693e-15  2.53168e-16
      9647.20  1.60006e-15  2.48187e-16
      9648.44  1.78252e-15  3.09534e-16
      9649.68  2.32494e-15  2.75878e-16
      9650.92  2.62490e-15  2.64204e-16
      9652.16  2.61639e-15  2.49797e-16
      9653.40  2.18474e-15  2.35054e-16
      9654.64  1.72196e-15  2.48302e-16
      9655.88  1.94476e-15  2.30502e-16
      9657.12  1.80958e-15  2.52664e-16
      9658.36  1.92370e-15  2.39886e-16
      9659.60  1.84932e-15  2.22117e-16
      9660.84  2.04792e-15  2.20076e-16
      9662.08  1.80985e-15  2.29511e-16
      9663.32  1.70570e-15  2.35949e-16
      9664.56  1.61835e-15  2.39512e-16
      9665.80  1.76810e-15  2.44826e-16
      9667.04  2.06618e-15  2.48420e-16
      9668.28  1.89450e-15  2.40065e-16
      9669.52  1.72469e-15  2.29833e-16
      9670.76  1.79797e-15  2.29639e-16
      9672.00  1.61968e-15  2.59399e-16
      9673.24  1.70163e-15  2.21885e-16
      9674.48  1.57988e-15  2.51247e-16
      9675.72  1.91988e-15  2.12967e-16
      9676.96  1.85731e-15  2.06484e-16
      9678.20  1.71756e-15  1.98695e-16
      9679.44  1.60707e-15  1.99981e-16
      9680.68  1.65590e-15  1.96897e-16
      9681.92  1.61200e-15  1.95366e-16
      9683.16  1.65375e-15  2.04717e-16
      9684.40  1.46627e-15  2.14054e-16
      9685.64  1.56774e-15  2.10921e-16
      9686.88  1.89788e-15  2.02830e-16
      9688.12  1.67228e-15  1.96080e-16
      9689.35  1.44090e-15  1.87527e-16
      9690.59  1.45791e-15  1.81727e-16
      9691.83  1.66672e-15  1.78939e-16
      9693.07  1.58725e-15  1.78879e-16
      9694.31  1.33515e-15  1.81090e-16
      9695.55  1.42157e-15  1.81997e-16
      9696.79  1.56762e-15  1.85955e-16
      9698.03  1.45250e-15  1.79912e-16
      9699.27  1.40992e-15  1.79421e-16
      9700.51  1.32911e-15  1.80632e-16
      9701.75  1.34742e-15  1.87120e-16
      9702.99  1.37724e-15  1.88673e-16
      9704.22  1.43848e-15  1.94454e-16
