#        xrf     yaftsub
#
        3502   5.928e-18
        3505   2.651e-18
        3508   4.708e-18
        3511   5.705e-18
        3514   8.236e-18
        3516   5.857e-18
        3519   3.931e-18
        3522   3.596e-18
        3525    4.12e-18
        3528   2.834e-18
        3531   5.041e-18
        3533   8.861e-18
        3536   8.162e-18
        3539   6.222e-18
        3542   8.071e-18
        3545   5.972e-18
        3548   5.022e-18
        3550   4.735e-18
        3553   6.885e-18
        3556   5.509e-18
        3559   6.128e-18
        3562   5.507e-18
        3565    5.88e-18
        3567   4.508e-18
        3570   3.069e-18
        3573   3.693e-18
        3576   4.124e-18
        3579    5.29e-18
        3582   7.349e-18
        3584   6.703e-18
        3587   4.638e-18
        3590   4.877e-18
        3593   4.143e-18
        3596   5.527e-18
        3599   6.042e-18
        3601   4.913e-18
        3604   5.433e-18
        3607   5.156e-18
        3610   5.596e-18
        3613   5.436e-18
        3616   6.447e-18
        3618   6.171e-18
        3621     6.5e-18
        3624   4.844e-18
        3627   5.276e-18
        3630   5.021e-18
        3633   6.217e-18
        3635   7.296e-18
        3638   6.227e-18
        3641   5.118e-18
        3644   6.259e-18
        3647   4.429e-18
        3650    6.22e-18
        3652   4.578e-18
        3655   4.339e-18
        3658   5.392e-18
        3661   4.707e-18
        3664    3.66e-18
        3667   5.356e-18
        3670   6.447e-18
        3672    4.08e-18
        3675   5.554e-18
        3678   5.852e-18
        3681   4.282e-18
        3684   4.665e-18
        3687    5.82e-18
        3689   5.668e-18
        3692    6.61e-18
        3695   6.646e-18
        3698   5.095e-18
        3701   6.727e-18
        3704    5.58e-18
        3706   6.002e-18
        3709   5.812e-18
        3712   7.371e-18
        3715    6.78e-18
        3718   6.801e-18
        3721   6.822e-18
        3723   6.844e-18
        3726   6.865e-18
        3729   6.886e-18
        3732   6.907e-18
        3735   6.928e-18
        3738   6.949e-18
        3740    6.65e-18
        3743   6.885e-18
        3746   6.994e-18
        3749     5.5e-18
        3752    7.05e-18
        3755   7.745e-18
        3757   6.066e-18
        3760   6.752e-18
        3763   7.321e-18
        3766   8.067e-18
        3769   6.167e-18
        3772   7.572e-18
        3774   8.567e-18
        3777   8.517e-18
        3780   7.798e-18
        3783   8.677e-18
        3786   8.753e-18
        3789   8.002e-18
        3791   7.561e-18
        3794   7.168e-18
        3797   8.612e-18
        3800   8.766e-18
        3803   9.136e-18
        3806   7.929e-18
        3808   8.504e-18
        3811   8.993e-18
        3814   8.021e-18
        3817    8.15e-18
        3820    8.74e-18
        3823   8.715e-18
        3826   8.938e-18
        3828   9.747e-18
        3831   7.202e-18
        3834   8.929e-18
        3837   9.016e-18
        3840   9.477e-18
        3843   8.606e-18
        3845   1.013e-17
        3848   9.764e-18
        3851   9.662e-18
        3854   1.047e-17
        3857   1.055e-17
        3860   1.107e-17
        3862   8.495e-18
        3865   9.434e-18
        3868   1.074e-17
        3871   1.031e-17
        3874   1.011e-17
        3877   1.077e-17
        3879   9.929e-18
        3882    1.04e-17
        3885   9.767e-18
        3888   9.712e-18
        3891   1.008e-17
        3894   8.931e-18
        3896   9.065e-18
        3899   9.146e-18
        3902   8.632e-18
        3905   1.027e-17
        3908   9.798e-18
        3911   1.028e-17
        3913   8.417e-18
        3916   9.966e-18
        3919   9.245e-18
        3922   1.002e-17
        3925    8.77e-18
        3928   9.135e-18
        3930    7.37e-18
        3933   8.183e-18
        3936   8.071e-18
        3939   9.336e-18
        3942   9.087e-18
