#        xrf     yaftsub
#
        2609   6.463e-18
        2612   2.345e-18
        2614   2.427e-16
        2617    3.28e-17
        2620  -2.728e-16
        2623   2.794e-16
        2626   9.562e-16
        2629  -7.834e-16
        2631  -6.025e-16
        2634  -7.534e-17
        2637   2.287e-16
        2640  -4.916e-16
        2643  -3.481e-16
        2646   9.333e-17
        2648   1.635e-16
        2651   4.456e-16
        2654   2.704e-16
        2657   2.098e-16
        2660  -2.124e-16
        2663   5.277e-16
        2665   3.884e-17
        2668   9.852e-17
        2671  -3.138e-16
        2674   5.863e-16
        2677   1.045e-16
        2680   5.893e-16
        2682  -4.361e-16
        2685  -2.851e-16
        2688  -1.595e-15
        2691   7.649e-15
        2694   1.351e-14
        2697   3.579e-16
        2700   1.159e-15
        2702   2.933e-17
        2705   1.281e-16
        2708  -1.885e-16
        2711   2.618e-16
        2714      -4e-16
        2717   2.474e-16
        2719   1.439e-16
        2722   5.127e-16
        2725   1.999e-16
        2728  -4.305e-16
        2731   7.238e-16
        2734   8.031e-16
        2736   5.523e-17
        2739  -2.889e-16
        2742   3.746e-16
        2745   -4.21e-16
        2748  -5.575e-16
        2751  -2.289e-16
        2753  -1.607e-16
        2756  -3.508e-16
        2759  -3.308e-16
        2762   2.043e-16
        2765    1.12e-17
        2768  -2.803e-16
        2770  -7.111e-17
        2773   4.192e-16
        2776  -8.259e-16
        2779   7.525e-16
        2782  -2.115e-16
        2785   2.839e-16
        2788  -1.347e-16
        2790   3.289e-16
        2793  -2.322e-17
        2796   6.778e-16
        2799   2.504e-16
        2802  -4.509e-16
        2805  -2.583e-16
        2807   -5.06e-16
        2810    3.95e-16
        2813   1.308e-16
        2816  -5.631e-17
        2819  -2.665e-16
        2822   2.152e-17
        2824   5.442e-16
        2827  -5.532e-16
        2830   1.001e-16
        2833  -2.698e-16
        2836   1.202e-16
        2839  -3.788e-16
        2841   2.042e-16
        2844  -5.651e-17
        2847   -3.27e-17
        2850   1.646e-16
        2853  -1.086e-16
        2856   2.008e-16
        2858  -4.094e-16
        2861  -9.993e-17
        2864   9.575e-17
        2867   3.006e-16
        2870  -1.926e-18
        2873  -4.094e-17
        2876   3.161e-16
        2878   1.965e-17
        2881  -3.845e-17
        2884   1.485e-17
        2887   -1.05e-17
        2890   8.951e-17
        2893  -1.423e-16
        2895   2.158e-16
        2898  -1.136e-16
        2901   -2.43e-17
        2904   2.646e-16
        2907  -1.709e-16
        2910  -1.169e-16
        2912   9.864e-18
        2915   4.657e-17
        2918   1.401e-16
        2921   1.653e-16
        2924  -4.161e-17
        2927   1.433e-16
        2929  -6.239e-16
        2932  -3.261e-16
        2935   1.618e-16
        2938    7.64e-17
        2941   6.596e-17
        2944   5.771e-17
        2946   3.511e-17
        2949   1.936e-16
        2952   4.903e-17
        2955   4.337e-17
        2958  -2.268e-17
        2961  -4.361e-17
        2963   2.329e-16
        2966  -7.727e-16
        2969  -7.279e-16
        2972   1.566e-16
        2975   2.316e-18
        2978   6.128e-17
        2981   6.182e-18
        2983   5.003e-17
        2986   3.944e-17
        2989   5.353e-17
        2992  -5.709e-17
        2995   7.301e-17
        2998   7.426e-17
        3000   4.528e-17
        3003   1.388e-18
        3006   -3.57e-17
        3009   8.504e-17
        3012   9.619e-18
        3015   1.048e-16
        3017  -1.716e-17
        3020   2.341e-17
        3023   4.172e-17
        3026    6.21e-17
        3029   3.294e-17
        3032   4.489e-17
        3034   2.582e-17
        3037   4.203e-17
        3040   7.672e-18
        3043   2.898e-17
        3046  -1.057e-17
        3049    7.83e-17
        3051   4.236e-17
        3054   3.761e-17
        3057  -1.631e-17
        3060   7.168e-18
        3063   4.336e-17
        3066   4.394e-17
        3069   1.022e-17
        3071   2.941e-18
        3074   2.841e-18
        3077   3.956e-17
        3080   1.537e-17
        3083   1.559e-17
        3086   3.601e-17
        3088   -1.01e-17
        3091   1.112e-17
        3094   3.627e-17
        3097  -8.037e-18
        3100   3.909e-17
        3103   1.504e-17
        3105  -3.736e-19
        3108    2.71e-17
        3111    3.49e-17
        3114   1.024e-17
        3117  -6.547e-20
        3120  -1.201e-17
        3122   6.562e-18
        3125   2.993e-17
        3128   1.552e-17
        3131   1.263e-17
        3134   2.035e-17
        3137   2.042e-18
        3139   3.757e-17
        3142   2.095e-17
        3145   -5.45e-19
        3148   1.674e-17
        3151   8.272e-19
        3154   2.638e-17
        3157   2.108e-17
        3159   1.948e-17
        3162   2.212e-17
        3165  -1.324e-18
        3168   1.426e-17
        3171   8.847e-18
        3174   2.059e-17
        3176   4.024e-17
        3179   4.555e-17
        3182   2.235e-17
        3185   1.258e-17
        3188   1.468e-17
        3191   1.357e-17
        3193   8.417e-18
        3196   1.065e-17
        3199   2.219e-17
        3202   2.648e-17
        3205   8.767e-18
        3208   2.078e-17
        3210  -8.804e-19
        3213   2.789e-18
        3216   1.026e-17
        3219   1.233e-17
        3222   1.631e-17
        3225   1.839e-17
        3227   6.307e-18
        3230   2.384e-17
        3233    1.37e-17
        3236   3.232e-17
        3239   9.125e-18
        3242   1.111e-17
        3245   1.318e-17
        3247  -2.494e-18
        3250   9.967e-18
        3253   1.816e-17
        3256   2.838e-17
        3259   2.663e-17
        3262   1.288e-17
        3264   1.151e-17
        3267   1.191e-17
        3270   8.428e-18
        3273   2.203e-17
        3276   1.925e-17
        3279   2.429e-17
        3281   2.142e-17
        3284   2.101e-17
        3287   1.919e-17
        3290   2.292e-17
        3293   1.496e-17
        3296   1.117e-16
        3298  -1.659e-16
        3301  -7.503e-17
        3304   1.079e-17
        3307   2.038e-17
        3310   2.799e-17
        3313   3.005e-17
        3315   2.019e-17
        3318   2.782e-17
        3321   2.502e-17
        3324   2.279e-17
        3327   3.063e-17
        3330   2.328e-17
        3333   2.169e-17
        3335   2.254e-17
        3338   2.694e-17
        3341   2.542e-17
        3344   1.902e-17
        3347   2.633e-17
        3350   3.478e-17
        3352   1.815e-17
        3355  -2.544e-17
        3358   2.119e-17
        3361  -1.049e-16
        3364   1.423e-17
        3367   3.267e-17
        3369   3.314e-17
        3372   3.037e-17
        3375   3.323e-17
        3378   3.175e-17
        3381   3.176e-17
        3384   3.177e-17
        3386   3.177e-17
        3389   3.178e-17
        3392   3.178e-17
        3395   3.179e-17
        3398   3.465e-17
        3401   2.836e-17
        3403   2.879e-17
        3406    2.93e-17
        3409   3.506e-17
        3412   3.675e-17
        3415   3.682e-17
        3418   2.989e-17
        3420   3.413e-17
        3423   3.104e-17
        3426   3.275e-17
        3429   2.844e-17
        3432   2.868e-17
        3435   3.342e-17
        3438    3.07e-17
        3440   2.989e-17
        3443   3.265e-17
        3446   3.617e-17
        3449   3.397e-17
        3452   3.053e-17
        3455   3.102e-17
        3457   2.854e-17
        3460   3.196e-17
        3463   3.337e-17
        3466   3.311e-17
        3469    3.54e-17
        3472   3.232e-17
