BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '07D3FI            '  /                                              
FILENAME= 'VERSION2FC_RECAL_ATM.FITS[200:1200,2,1]'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
OBJECT  = '07D3fi  '           / Name of the object observed                    
DATE    = '2008-01-22T14:01:38' / Date FITS file was generated                  
IRAF-TLM= '14:01:42 (22/01/2008)' / Time of last modification                   
CTYPE1  = 'LINEAR  '           / R.A. in tangent plane projection               
CTYPE2  = 'LINEAR  '           / DEC. in tangent plane projection               
CRPIX1  =                   1. / Ref pix of axis 1                              
CRVAL1  =         4508.3251791 / RA at Ref pix in decimal degrees               
CD1_1   =     3.55768752098081 / WCS matrix element 1 1                         
CD2_2   =                   1. / WCS matrix element 2 2                         
CCDSUM  = '2 2     '           / CCD sum                                        
GAIN    =                   1. / Amplifier gain                                 
GAINMULT=                2.337 / Gain multiplication                            
RDNOISE =                  3.3 / Readout noise                                  
WCSDIM  =                    3                                                  
LTM1_1  =                   1.                                                  
LTM2_2  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
MDFROW  =                    1 / Corresponding row in MDF                       
DETSEC  = '[1:4360,1543:3102]'                                                  
DATASEC = '[1:2180,1:780]'                                                      
REFPIX1 =             1530.216 / Pixel of central wavelength                    
DCLOG1  = 'Transform'                                                           
DC-FLAG =                    0                                                  
WAT1_001= 'wtype=linear label=Wavelength units=angstroms'                       
WAT2_001= 'wtype=linear'                                                        
WAVTRAN = 'gsN20070423S0184_001' / Name of wavelength transformation            
IMCMB001= 'tcmnfgsN20070423S0090_sef'                                           
IMCMB002= 'tcfmnfgsN20070423S0090_sef'                                          
IMCMB003= 'tcmnfgsN20070423S0091_sef'                                           
IMCMB004= 'tcfmnfgsN20070423S0091_sef'                                          
IMCMB005= 'tcmnfgsN20070423S0092_sef'                                           
IMCMB006= 'tcfmnfgsN20070423S0092_sef'                                          
IMCMB007= 'tcmnfgsN20070423S0093_sef'                                           
IMCMB008= 'tcfmnfgsN20070423S0093_sef'                                          
NCOMBINE=                    8                                                  
APNUM1  = '1 1 410.15 416.15'                                                   
APNUM2  = '2 2 417.15 427.15'                                                   
CTYPE3  = 'LINEAR  '                                                            
CD3_3   =                   1.                                                  
LTM3_3  =                   1.                                                  
WAT3_001= 'wtype=linear'                                                        
REFSPEC = 'gsN20070423S0185_001'                                                
AIRMASS =                1.197                                                  
EXPTIME =             1799.947                                                  
OBSERVAT= 'Gemini-North'                                                        
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
BANDID1 = 'spectrum - background none, weights variance, clean yes'             
BANDID2 = 'raw - background none, weights none, clean no'                       
